x1,x2
36.5,-123.5
36.5,-123.4
36.5,-123.3
36.5,-123.2
36.5,-123.1
36.5,-123.0
36.5,-122.9
36.5,-122.8
36.5,-122.7
36.5,-122.6
36.5,-122.5
36.5,-122.4
36.6,-123.5
36.6,-123.4
36.6,-123.3
36.6,-123.2
36.6,-123.1
36.6,-123.0
36.6,-122.9
36.6,-122.8
36.6,-122.7
36.6,-122.6
36.6,-122.5
36.7,-123.5
36.7,-123.4
36.7,-123.3
36.7,-123.2
36.7,-123.1
36.7,-123.0
36.7,-122.9
36.7,-122.8
36.7,-122.7
36.7,-122.6
36.8,-123.5
36.8,-123.4
36.8,-123.3
36.8,-123.2
36.8,-123.1
36.8,-123.0
36.8,-122.9
36.8,-122.8
36.8,-122.7
36.9,-123.5
36.9,-123.4
36.9,-123.3
36.9,-123.2
36.9,-123.1
36.9,-123.0
36.9,-122.9
36.9,-122.8
37.0,-123.5
37.0,-123.4
37.0,-123.3
37.0,-123.2
37.0,-123.1
37.0,-123.0
37.0,-122.9
37.0,-122.8
37.1,-123.5
37.1,-123.4
37.1,-123.3
37.1,-123.2
37.1,-123.1
37.1,-123.0
37.1,-122.9
37.2,-123.5
37.2,-123.4
37.2,-123.3
37.2,-123.2
37.2,-123.1
37.2,-123.0
37.2,-122.9
37.3,-123.5
37.3,-123.4
37.3,-123.3
37.3,-123.2
37.3,-123.1
37.3,-123.0
37.4,-123.5
37.4,-123.4
37.4,-123.3
37.4,-123.2
37.4,-123.1
37.4,-123.0
37.5,-123.5
37.5,-123.4
37.5,-123.3
37.5,-123.2
37.5,-123.1
37.5,-123.0
37.6,-123.5
37.6,-123.4
37.6,-123.3
37.6,-123.2
37.6,-123.1
37.7,-123.5
37.7,-123.4
37.7,-123.3
37.7,-123.2
37.7,-123.1
37.8,-123.5
37.8,-123.4
37.8,-123.3
37.8,-123.2
37.8,-123.1
37.9,-123.5
37.9,-123.4
37.9,-123.3
37.9,-123.2
37.9,-123.1
38.0,-123.5
38.0,-123.4
38.0,-123.3
38.0,-123.2
38.0,-123.1
38.1,-123.5
38.1,-123.4
38.1,-123.3
38.1,-123.2
38.1,-123.1
38.1,-123.0
38.2,-123.5
38.2,-123.4
38.2,-123.3
38.2,-123.2
38.2,-123.1
38.3,-123.5
38.3,-123.4
38.3,-123.3
38.3,-123.2
38.3,-123.1
38.3,-123.0
38.4,-123.5
38.4,-123.4
38.4,-123.3
38.4,-123.2
38.4,-123.1
38.4,-123.0
38.5,-123.5
38.5,-123.4
38.5,-123.3
38.5,-123.2
38.5,-123.1
38.5,-123.0
