x1,x2
36.5,-122.3
36.5,-122.1
36.5,-122.0
36.5,-121.9
36.5,-121.8
36.5,-121.7
36.5,-121.6
36.5,-121.5
36.6,-122.4
36.6,-122.3
36.6,-122.2
36.6,-122.1
36.6,-122.0
36.6,-121.9
36.6,-121.8
36.6,-121.7
36.6,-121.6
36.6,-121.5
36.7,-122.5
36.7,-122.4
36.7,-122.3
36.7,-122.2
36.7,-122.1
36.7,-122.0
36.7,-121.9
36.7,-121.8
36.7,-121.7
36.7,-121.6
36.7,-121.5
36.8,-122.6
36.8,-122.5
36.8,-122.4
36.8,-122.3
36.8,-122.2
36.8,-122.1
36.8,-122.0
36.8,-121.9
36.8,-121.8
36.9,-122.7
36.9,-122.6
36.9,-122.5
36.9,-122.4
36.9,-122.3
36.9,-122.2
36.9,-122.1
36.9,-122.0
37.0,-122.7
37.0,-122.6
37.0,-122.5
37.0,-122.4
37.0,-122.3
37.0,-122.2
37.0,-122.1
37.1,-122.8
37.1,-122.7
37.1,-122.6
37.1,-122.5
37.1,-122.4
37.1,-122.3
37.1,-122.2
37.2,-122.8
37.2,-122.7
37.2,-122.6
37.2,-122.5
37.2,-122.4
37.2,-122.3
37.3,-122.9
37.3,-122.8
37.3,-122.7
37.3,-122.6
37.3,-122.5
37.3,-122.4
37.3,-122.3
37.4,-122.9
37.4,-122.8
37.4,-122.7
37.4,-122.6
37.4,-122.5
37.4,-122.4
37.4,-122.3
37.5,-122.9
37.5,-122.8
37.5,-122.7
37.5,-122.6
37.5,-122.5
37.5,-122.4
37.6,-123.0
37.6,-122.9
37.6,-122.8
37.6,-122.7
37.6,-122.6
37.6,-122.5
37.6,-122.4
37.7,-123.0
37.7,-122.9
37.7,-122.8
37.7,-122.7
37.7,-122.6
37.7,-122.5
37.7,-122.4
37.8,-123.0
37.8,-122.9
37.8,-122.8
37.8,-122.7
37.8,-122.6
37.8,-122.5
37.8,-122.4
37.9,-123.0
37.9,-122.9
37.9,-122.8
37.9,-122.7
37.9,-122.6
37.9,-122.5
37.9,-122.4
37.9,-121.6
37.9,-121.5
38.0,-123.0
38.0,-122.9
38.0,-122.8
38.0,-122.7
38.0,-122.6
38.0,-122.5
38.0,-122.4
38.0,-122.3
38.0,-122.2
38.0,-121.8
38.0,-121.7
38.0,-121.6
38.0,-121.5
38.1,-122.9
38.1,-122.8
38.1,-122.7
38.1,-122.6
38.1,-122.5
38.1,-122.4
38.1,-122.3
38.1,-122.2
38.1,-122.1
38.1,-122.0
38.1,-121.9
38.1,-121.8
38.1,-121.7
38.1,-121.6
38.1,-121.5
38.2,-123.0
38.2,-122.9
38.2,-122.8
38.2,-122.7
38.2,-122.6
38.2,-122.5
38.2,-122.4
38.2,-122.3
38.2,-122.2
38.2,-122.1
38.2,-122.0
38.2,-121.9
38.2,-121.8
38.2,-121.7
38.2,-121.6
38.2,-121.5
38.3,-122.9
38.3,-122.8
38.3,-122.7
38.3,-122.6
38.3,-122.5
38.3,-122.4
38.3,-122.3
38.3,-122.2
38.3,-122.1
38.3,-122.0
38.3,-121.9
38.3,-121.8
38.3,-121.7
38.3,-121.6
38.3,-121.5
38.4,-122.9
38.4,-122.8
38.4,-122.7
38.4,-122.6
38.4,-122.5
38.4,-122.4
38.4,-122.3
38.4,-122.2
38.4,-122.1
38.4,-122.0
38.4,-121.9
38.4,-121.8
38.4,-121.7
38.4,-121.6
38.4,-121.5
38.5,-122.9
38.5,-122.8
38.5,-122.7
38.5,-122.6
38.5,-122.5
38.5,-122.4
38.5,-122.3
38.5,-122.2
38.5,-122.1
38.5,-122.0
38.5,-121.9
38.5,-121.8
38.5,-121.7
38.5,-121.6
38.5,-121.5
