Month,Day,Time,Mag,Lat,Long,Depth
4,31,13,2.7,38.8275,-122.811,1.933
4,31,7,2.19,38.8363333,-122.871,1.195
4,30,16,2.28,37.837,-121.7951667,13.948
4,30,11,2.39,37.8658333,-121.9831667,2.686
4,29,20,2.77,37.6358333,-121.6748333,8.619
4,29,19,2.69,38.8231667,-122.7946667,0.203
4,29,6,2.17,37.0003333,-121.9236667,4.862
4,29,4,2.61,36.8411667,-121.5708333,5.621
4,28,21,2.35,36.825,-121.4096667,6.988
4,28,19,2.35,37.128,-121.9685,13.573
4,28,11,2.07,37.1753333,-122.0218333,10.991
4,27,22,2.2,37.07,-122.3211667,2.573
4,27,20,2.68,37.8355,-121.968,15.447
4,27,20,2.75,38.8083333,-122.7835,0.263
4,27,14,2.1,38.8008333,-122.8038333,3.261
4,27,10,2.7,36.8433333,-121.5738333,5.574
4,27,4,2.22,37.8138333,-121.9935,8.776
4,25,16,2.65,36.7598333,-121.4623333,7.554
4,25,7,2.31,36.5751667,-121.0345,7.962
4,25,2,2.33,37.5226667,-121.8913333,10.343
4,24,15,2.03,38.7908333,-122.7796667,2.091
4,24,1,2.66,38.7805,-122.7235,1.374
4,22,11,2.19,38.8233333,-122.7766667,1.991
4,21,18,2.05,37.8601667,-122.01,1.286
4,21,17,2.2,38.7865,-122.7731667,2.201
4,21,15,2,36.6226667,-121.2326667,5.421
4,21,10,2.24,36.4615,-121.0375,0.516
4,20,17,2.1,38.797,-122.8106667,3.788
4,20,16,2.27,38.0025,-121.8465,17.205
4,20,13,2.57,36.6535,-121.279,6.958
4,20,10,2.23,37.1978333,-122.1805,4.454
4,19,13,3.3,36.7661667,-121.4165,9.998
4,19,13,2.62,36.7683333,-121.417,9.098
4,19,9,2.2,38.8113333,-122.7746667,1.571
4,18,19,2.55,36.652,-121.2745,6.058
4,18,9,2.46,36.9261667,-121.663,7.548
4,18,7,3.1,36.66,-121.2868333,6.828
4,17,20,2.99,36.6586667,-121.2858333,7.328
4,17,20,3.1,36.6591667,-121.2856667,7.156
4,17,15,2.44,36.5703333,-121.1665,5.542
4,17,11,3.6,37.3733333,-121.7296667,8.427
