Time,Mag,Lat,Long,Depth
23,2.56,38.8,-122.812,0.54
8,2.15,38.812,-122.8101667,2.84
20,2.06,37.474,-121.8131667,6.636
16,2.59,37.5346667,-121.8221667,3.724
17,2.59,38.8001667,-122.8101667,0.24
12,2.98,36.3536667,-122.0085,3.789
11,2.23,38.7946667,-122.7481667,1.538
7,2.04,38.883,-123.0125,2.78
10,2.37,38.816,-122.7958333,3.01
8,2.17,38.7815,-122.7645,0.326
8,2.45,38.7885,-122.7728333,1.886
4,3,38.752,-122.4308333,8.132
3,2.14,38.818,-122.8013333,3.28
3,2.17,38.8228333,-122.7976667,3.46
17,2,36.5388333,-121.125,2.287
2,2.06,38.8163333,-122.7948333,3.7
4,3,38.7943333,-122.8068333,3.72
22,2.27,38.8246667,-122.8146667,0.48
21,2.29,38.8055,-122.8096667,3.87
13,2.26,38.8191667,-122.7891667,0.13
20,2.55,36.3986667,-120.8255,7
1,2.04,38.7943333,-122.809,3.1
13,2.31,38.8051667,-122.8121667,3.62
7,2.39,38.8066667,-122.8141667,2.78
13,2.39,38.8218333,-122.793,3.45
9,2.12,37.7111667,-122.3858333,4.674
5,2.04,38.8073333,-122.809,1.67
5,2.57,38.815,-122.8098333,3.1
20,2.12,38.8045,-122.8035,1.07
16,2.06,38.7945,-122.747,1.228
7,2.74,37.3148333,-121.687,6.553
20,2.11,36.5515,-120.7961667,3.383
1,2.01,37.3558333,-121.7183333,7.127
11,2.1,38.821,-122.7941667,3.24
8,2.34,36.8363333,-121.4276667,5.538
8,2.23,38.8023333,-122.7996667,1.03
16,2.07,38.8036667,-122.7718333,1.326
14,2.22,38.8123333,-122.814,2.4
13,2.26,38.8138333,-122.7988333,1.94
20,2.25,38.823,-122.8006667,0.08
18,2.03,36.9525,-121.4461667,4.161
20,2.5,36.5455,-121.1388333,8.266
18,2.11,37.1305,-121.53,7.737
8,2.1,38.7843333,-122.7553333,0.598
11,2.06,36.676,-121.3033333,4.656
7,3,36.6546667,-121.2735,5.128
6,2.59,36.6551667,-121.2741667,4.898
4,2.06,37.3335,-121.7003333,6.848
20,2.78,36.6558333,-121.2755,5.168
18,2.11,38.8221667,-122.7988333,3.214
12,2.52,38.7941667,-122.777,3.214
11,3.1,37.282,-121.6641667,3.938
6,2.35,38.7891667,-122.7753333,0.248
18,2.3,37.8743333,-121.9788333,10.352
18,2.68,38.8286667,-122.7776667,0.207
15,2.11,38.5511667,-122.7608333,2.028
9,2.15,37.8631667,-122.2336667,8.02
15,2.35,36.6773333,-121.3041667,4.508
5,2.21,38.7985,-122.8146667,3.29
5,3,36.6756667,-121.2991667,4.198
3,3.06,36.9603333,-121.5763333,5.205
0,2.21,36.5805,-121.1761667,4.238
22,2.02,38.8176667,-122.7928333,3.45
22,2.15,38.8185,-122.7945,3.25
22,2.35,36.6738333,-121.297,3.878
22,2.3,36.5176667,-121.0913333,2.074
11,3,36.437,-121.0146667,7.683
6,2.23,36.5831667,-121.1105,7.722
6,3.04,37.1263333,-121.5278333,7.291
23,2.55,37.1276667,-121.5286667,7.192
19,2.85,36.5088333,-121.0843333,4.414
17,2.33,38.7963333,-122.807,3.58
9,2.95,37.1295,-121.5296667,7.247
23,2.27,36.6358333,-121.2505,5.991
10,2.71,37.315,-121.6863333,6.758
8,2,38.232,-122.1595,11.19
8,2.36,38.2381667,-122.1738333,12.403
23,2.16,37.8623333,-122.2345,7.67
22,2.06,36.3975,-122.2591667,14.783
1,2.26,36.7046667,-121.3396667,2.569
1,2.48,36.702,-121.3365,2.259
10,2.5,38.8208333,-122.8115,0.53
10,2.55,38.8213333,-122.8073333,0.85
10,2.54,38.8205,-122.81,0.68
22,2.6,37.1618333,-121.5633333,2.567
22,2,38.825,-122.8051667,0.85
17,2.4,37.033,-121.473,8.03
15,2.02,36.874,-121.6078333,6.717
12,2.36,36.8006667,-122.0805,3.088
8,2.19,38.8628333,-122.256,1.466
0,2.27,38.801,-122.8138333,3.17
13,2.22,38.8008333,-122.8126667,0.24
7,2.42,38.8558333,-122.2768333,1.452
1,2.11,36.5645,-121.0811667,7.542
19,2.46,38.8581667,-122.2811667,2.353
6,2.17,38.7948333,-122.7498333,1.028
22,2.21,36.3596667,-120.9215,7.572
19,2.02,37.2896667,-122.0665,4.625
19,2.42,37.2846667,-122.0713333,4.185
7,2.25,36.3603333,-120.9215,7.452
2,2.47,38.7923333,-122.7681667,0.756
2,3.35,38.7915,-122.7738333,1.336
17,3.12,36.2416667,-120.803,5.856
12,2.46,38.8023333,-122.8071667,0.58
12,2.63,38.8028333,-122.8051667,0.57
17,2.17,36.4698333,-121.0465,5.194
2,2.37,37.242,-121.6301667,4.642
14,2.18,38.798,-122.8241667,1.29
8,2.18,38.7861667,-122.7571667,0.826
15,2.31,38.747,-122.5631667,6.21
10,3.07,37.2396667,-121.629,5.007
10,2,38.7888333,-122.8056667,3.63
4,2.43,37.5421667,-121.9193333,9.354
4,2.68,36.5901667,-121.1816667,1.585
3,2.06,38.8081667,-122.7933333,3.367
3,3.16,38.8068333,-122.794,3.74
2,2.16,38.8225,-122.794,3.34
0,2.38,37.4806667,-121.7466667,7.56
20,2.09,36.4898333,-120.7606667,9.024
8,2.12,38.787,-122.7746667,1.3
0,3.1,38.8253333,-122.798,3.94
0,2.49,38.5953333,-122.8066667,4.956
6,2.15,38.8096667,-122.7901667,0.82
5,3.3,36.5845,-121.1121667,8.052
5,2.92,36.5828333,-121.1143333,7.252
1,2.58,38.9265,-122.706,1.811
16,2.03,38.5505,-122.764,2.788
6,2.49,37.275,-121.6483333,8.113
1,2.65,38.8018333,-122.8066667,0.46
21,2.25,37.108,-121.5328333,3.037
12,2.1,38.7948333,-122.8111667,3.17
3,2.04,36.3601667,-120.9388333,5.002
21,2.09,37.8808333,-122.243,9.22
14,2.48,37.2588333,-121.645,3.613
19,2.45,38.4315,-122.6436667,1.085
18,3.2,37.2778333,-121.6561667,6.293
14,3.3,38.8171667,-122.8076667,3.52
