MAG0,DATETIME,LAT,LON,DEPTH
0.3,2023/07/25 16:03:44,38.833N,122.812W,1.28
0.8,2023/07/25 14:17:09,35.961N,117.976W,3.25
1.0,2023/07/25 13:25:53,38.804N,122.818W,2.84
-0.3,2023/07/25 13:19:10,36.811N,116.043W,9.5
0.9,2023/07/25 13:16:53,35.668N,117.490W,4.62
0.3,2023/07/25 13:12:44,38.839N,122.769W,1.75
0.6,2023/07/25 12:56:59,33.868N,117.496W,3.18
1.1,2023/07/25 11:55:43,35.685N,117.543W,7.1
2.5,2023/07/25 11:52:15,35.669N,117.484W,6.34
0.9,2023/07/25 11:43:39,37.920N,121.948W,-0.39
1.0,2023/07/25 11:17:26,40.303N,119.971W,15.3
1.0,2023/07/25 11:03:11,34.050N,117.027W,20.9
1.3,2023/07/25 10:20:26,38.779N,122.745W,0.25
2.0,2023/07/25 10:15:46,39.611N,119.965W,7.2
0.3,2023/07/25 10:11:50,38.826N,122.807W,2.77
1.5,2023/07/25 10:09:37,35.752N,117.573W,7.5
0.8,2023/07/25 10:06:53,38.821N,122.791W,1.52
1.1,2023/07/25 09:47:12,33.709N,117.335W,-0.54
0.5,2023/07/25 09:39:17,33.486N,116.883W,11.08
0.6,2023/07/25 09:32:47,36.650N,116.284W,7.7
1.0,2023/07/25 09:18:53,38.830N,122.816W,1.77
0.9,2023/07/25 08:27:47,35.736N,118.057W,4.16
0.6,2023/07/25 08:16:53,38.792N,122.748W,2.24
1.3,2023/07/25 08:08:29,34.367N,116.888W,2.14
0.6,2023/07/25 07:47:42,33.478N,116.477W,13.52
0.9,2023/07/25 07:29:59,37.597N,118.912W,2.21
1.4,2023/07/25 07:07:40,38.839N,122.823W,2.04
1.9,2023/07/25 06:43:32,32.724N,115.777W,11.05
0.4,2023/07/25 06:30:09,33.386N,116.869W,4.93
0.0,2023/07/25 06:29:14,36.647N,116.281W,6.2
0.6,2023/07/25 06:10:32,38.833N,122.817W,1.58
3.1,2023/07/25 06:06:15,31.545N,115.675W,6.45
0.8,2023/07/25 06:01:25,38.813N,122.827W,1.7
2.1,2023/07/25 05:47:11,38.813N,122.825W,1.84
2.2,2023/07/25 05:22:51,32.282N,115.307W,0.58
1.3,2023/07/25 05:21:14,38.816N,122.820W,2.71
0.8,2023/07/25 05:06:43,32.953N,116.408W,8.79
2.3,2023/07/25 05:03:34,39.375N,122.908W,6.38
1.1,2023/07/25 04:57:21,35.955N,120.436W,9.4
1.5,2023/07/25 04:54:41,38.807N,122.781W,2.94
0.8,2023/07/25 04:40:01,38.828N,122.797W,2.61
1.6,2023/07/25 04:21:01,35.649N,117.457W,2.66
0.7,2023/07/25 04:08:58,38.838N,122.782W,1.8
1.7,2023/07/25 04:02:06,38.137N,117.976W,12.3
1.3,2023/07/25 03:55:31,38.836N,122.783W,1.96
1.5,2023/07/25 03:46:56,35.650N,117.461W,3.13
0.9,2023/07/25 03:16:41,39.634N,119.643W,11.8
2.3,2023/07/25 03:11:56,39.542N,116.580W,3.4
0.5,2023/07/25 02:51:21,33.485N,116.411W,10.32
1.5,2023/07/25 02:36:15,37.270N,114.961W,11.4
1.2,2023/07/25 01:58:06,37.262N,117.607W,8.8
0.5,2023/07/25 01:09:26,33.872N,116.831W,14.13
0.2,2023/07/25 01:09:00,33.871N,116.833W,14.4
0.5,2023/07/25 00:33:35,33.570N,116.366W,12.71
1.3,2023/07/25 00:29:20,38.335N,118.702W,5.7
1.0,2023/07/25 00:05:22,35.764N,117.569W,1.34
0.5,2023/07/25 00:00:56,37.547N,119.017W,3.55
0.3,2023/07/24 23:54:51,33.664N,116.777W,15.63
0.7,2023/07/24 23:08:01,35.804N,117.624W,9.01
1.1,2023/07/24 22:12:02,38.837N,122.808W,1.99
0.7,2023/07/24 21:21:54,39.625N,119.811W,9.7
1.4,2023/07/24 21:18:59,36.776N,121.335W,5.6
1.2,2023/07/24 21:00:42,38.817N,122.799W,1.4
1.4,2023/07/24 20:44:12,32.508N,116.980W,10.92
1.1,2023/07/24 20:38:34,38.818N,122.816W,2.24
0.7,2023/07/24 20:35:26,38.819N,122.803W,2.25
1.2,2023/07/24 20:11:23,38.834N,122.799W,2.2
0.8,2023/07/24 19:53:22,38.786N,122.769W,4.01
1.1,2023/07/24 19:27:03,39.425N,123.370W,4.82
1.6,2023/07/24 19:26:04,38.703N,122.747W,6.86
1.2,2023/07/24 19:22:44,38.839N,122.837W,1.84
1.8,2023/07/24 18:58:25,38.844N,122.875W,2.18
0.4,2023/07/24 17:44:53,38.817N,122.819W,3.14
1.3,2023/07/24 17:25:39,40.527N,119.802W,18.1
0.8,2023/07/24 17:04:36,38.827N,122.808W,2.18
1.1,2023/07/24 16:39:19,38.783N,122.758W,1.51
0.5,2023/07/24 16:37:47,38.836N,122.799W,2.43
0.3,2023/07/24 15:42:16,33.655N,116.782W,13.15
1.3,2023/07/24 15:38:33,32.908N,116.951W,3.68
1.4,2023/07/24 15:28:38,37.483N,118.846W,-0.19
0.5,2023/07/24 15:21:11,33.655N,116.732W,13.42
1.8,2023/07/24 14:18:09,34.496N,116.513W,6.63
1.3,2023/07/24 14:15:33,33.170N,115.935W,7.38
1.1,2023/07/24 13:51:38,36.226N,115.370W,7.4
2.5,2023/07/24 13:38:39,33.894N,116.692W,13.42
1.0,2023/07/24 13:09:27,37.569N,118.849W,-0.4
1.8,2023/07/24 13:05:09,36.890N,121.612W,1.81
0.7,2023/07/24 12:54:00,38.811N,122.824W,2.22
1.6,2023/07/24 12:43:06,38.117N,122.173W,-0.03
0.5,2023/07/24 12:43:02,38.836N,122.809W,2.09
1.1,2023/07/24 12:02:35,33.867N,117.501W,-0.53
1.2,2023/07/24 11:58:23,38.825N,122.812W,1.92
1.1,2023/07/24 11:52:41,37.986N,122.449W,-0.02
1.7,2023/07/24 11:42:07,37.500N,118.827W,2.06
